City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,minden,52.28,8.92,53.01,93,0,2.24,DE,1595292960
241,port moresby,-9.44,147.18,84.2,74,40,13.87,PG,1595292924
242,moree,-29.47,149.85,53.6,50,32,4.7,AU,1595292960
243,akyab,20.15,92.9,81.63,83,100,9.31,MM,1595292960
244,mahajanga,-15.72,46.32,69.8,56,20,11.41,MG,1595292960
245,chumikan,54.72,135.31,52.32,96,100,24.74,RU,1595292960
246,monaco-ville,43.73,7.42,73.4,83,0,5.82,FR,1595292961
247,honningsvag,70.98,25.97,53.94,91,100,5.59,NO,1595292961
248,hithadhoo,-0.6,73.08,84.27,76,100,13.2,MV,1595292961
249,ayr,55.46,-4.63,53.6,76,20,5.82,GB,1595292826
250,kysyl-syr,63.9,122.76,66.87,93,100,12.86,RU,1595292962
251,cancun,21.17,-86.85,84.2,74,75,3.36,MX,1595292962
252,surgut,61.25,73.42,59.0,72,0,8.95,RU,1595292962
253,faya,18.39,42.45,66.2,72,100,3.98,SA,1595292963
254,araouane,18.9,-3.53,98.26,25,86,11.88,ML,1595292963
255,evanston,42.04,-87.69,77.0,69,1,4.7,US,1595292923
256,broome,42.25,-75.83,77.0,53,1,5.82,US,1595292964
257,east london,-33.02,27.91,62.02,45,0,4.83,ZA,1595292964
258,cookeville,36.16,-85.5,77.0,94,40,4.7,US,1595292741
259,cabo san lucas,22.89,-109.91,95.0,58,20,16.11,MX,1595292690
260,grindavik,63.84,-22.43,46.4,81,40,2.24,IS,1595292965
261,marawi,8.0,124.29,82.0,81,45,1.01,PH,1595292965
262,ziro,27.63,93.83,59.88,100,100,1.28,IN,1595292965
263,aklavik,68.22,-135.01,50.0,66,75,11.41,CA,1595292966
264,saint-pierre,-21.34,55.48,64.4,63,90,6.93,RE,1595292966
265,todos santos,23.45,-110.22,78.01,79,0,1.01,MX,1595292966
266,kampot,10.62,104.18,82.4,83,20,2.24,KH,1595292966
267,rock sound,24.9,-76.2,83.77,78,74,19.17,BS,1595292966
268,port-cartier,50.03,-66.87,75.2,57,40,13.87,CA,1595292967
269,hasaki,35.73,140.83,75.99,94,75,4.7,JP,1595292967
270,culebra,18.3,-65.3,84.2,83,1,4.7,PR,1595292967
271,champerico,14.3,-91.92,83.73,75,100,4.88,GT,1595292967
